pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg],Temp Gradient [degC]
991.0,101,27.8,21.8,70.0,16.9,170.0,10.0,301.7,351.8,304.8,27.8,0.02437497471646678,-1.7364817766693028,9.84807753012208,0.0,304.05249354999995,305.42474567096156,0 meter ** 2 / second ** 2,0 meter ** 2 / second ** 2,-0.6000000000000014
988.0,127,27.2,22.2,74.0,17.39,175.0,14.0,301.4,352.8,304.5,27.539288529661974,0.02406738951191742,-1.2201803984672148,13.946725773284438,-0.3392885296619852,303.53608276499995,305.1037403294158,0.5061356788731339 meter ** 2 / second ** 2,1.3159527650701481 meter ** 2 / second ** 2,-1.1500000000000004
968.0,305,25.5,20.7,75.0,16.16,205.0,39.0,301.4,349.2,304.3,25.78660459276,0.022085338649530866,16.482112207887273,35.34600369442935,-0.28660459275999983,301.59397223999997,302.9638954425349,5.386231433940089 meter ** 2 / second ** 2,7.923547068110213 meter ** 2 / second ** 2,-1.1999999999999993
960.0,376,24.8,20.1,75.0,15.69,204.0,39.0,301.4,347.9,304.3,25.078287540297936,0.021325289904420165,15.862729079956209,35.628272848061435,-0.27828754029792435,300.80164965499995,302.1077684008903,1.5319021490693783 meter ** 2 / second ** 2,3.0212514606646073 meter ** 2 / second ** 2,-1.5
934.2,610,22.5,20.4,88.0,16.38,200.0,40.0,301.4,349.9,304.4,22.764849850269286,0.018997772588432753,13.680805733026746,37.58770483143634,-0.264849850269286,298.60407567,299.34410089429656,3.6430751230541736 meter ** 2 / second ** 2,5.683197191964512 meter ** 2 / second ** 2,-1.4000000000000004
929.0,658,22.0,20.4,91.0,16.53,200.0,41.0,301.4,350.3,304.4,22.293065531398668,0.018550996478172693,14.022825876352416,38.527397452222246,-0.29306553139866764,298.126085995,298.7863311249845,0.43407152730382986 meter ** 2 / second ** 2,1.0417716655291918 meter ** 2 / second ** 2,-0.34999999999999964
925.0,695,21.8,20.3,91.0,16.5,200.0,42.0,301.6,350.4,304.6,21.92886959269839,0.018212316354272444,14.364846019678083,39.46709007300815,-0.12886959269837917,297.91867175,298.3570521234132,1.4276266599443521 meter ** 2 / second ** 2,0.5335574385650609 meter ** 2 / second ** 2,-1.0
901.9,914,20.0,19.1,95.0,15.72,200.0,42.0,301.9,348.5,304.8,19.803337061054265,0.016339760844453394,14.364846019678083,39.46709007300815,0.19666293894573528,295.96107398,295.87327741541316,-0.8866839413069294 meter ** 2 / second ** 2,-0.6366681414630084 meter ** 2 / second ** 2,-1.5999999999999996
884.0,1088,18.6,18.2,98.0,15.11,209.0,49.0,302.2,347.0,304.9,19.111631876623584,0.015958788167983677,23.75567139207051,42.856365649830394,-0.5116318766235395,294.439088925,295.106758175,0.3777816914734682 meter ** 2 / second ** 2,,-0.40000000000000036
883.0,1098,19.2,18.1,93.0,15.03,209.0,49.0,302.9,347.7,305.7,19.07203726175714,0.015936890158748364,23.75567139207051,42.856365649830394,0.127962738242843,295.030352505,295.062874672739,0.12423292292009017 meter ** 2 / second ** 2,,0.0
