pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
992.0,101,26.6,22.7,79.0,17.87,240.0,5.0,300.4,353.1,303.6,26.6,0.02263254965985826,4.330127018922193,2.500000000000002,0.0,303.01748482500005,303.88830512393093,4447.6298287142345,-18.691329031219077
969.1,305,25.3,21.8,81.0,17.28,240.0,21.0,301.2,352.2,304.3,24.60545459024013,0.020510537004873975,18.18653347947321,10.500000000000009,-0.6945454097598827,301.59590176,301.4808003948036,,
967.0,324,25.2,21.7,81.0,17.23,241.0,21.0,301.2,352.1,304.3,24.420870214469176,0.020323133810671728,18.367013849927314,10.181002025173074,-0.779129785530813,301.48574800499995,301.25988950872045,,
935.5,610,24.0,16.6,63.0,12.83,255.0,29.0,302.8,341.1,305.2,21.617114943462923,0.017652440425916155,28.01184896238298,7.505752307973098,-2.382885056537077,299.475585045,297.94116389445867,,
931.0,652,23.8,15.8,61.0,12.27,255.0,30.0,303.1,339.7,305.3,21.452323321796644,0.017556998529058128,28.97777478867205,7.764571353075619,-2.3476766782033565,299.172581665,297.7574461816995,,
925.0,708,23.2,15.2,61.0,11.88,255.0,31.0,303.0,338.5,305.2,21.23133420279161,0.017429474635751698,29.943700614961116,8.02339039817814,-1.9686657972083594,298.49758918,297.5111905214046,,
903.2,914,21.5,13.2,59.0,10.64,260.0,34.0,303.3,335.2,305.3,20.42218531554773,0.01697030461740612,33.48346360241507,5.904038040675632,-1.077814684452278,296.5623963599999,296.6112110568692,,
871.9,1219,18.9,10.2,57.0,9.02,260.0,35.0,303.8,331.0,305.4,19.226891090085605,0.016305844335814848,34.468271355427284,6.077686218342562,0.3268910900856099,293.65691750999997,295.2850368549233,,
856.0,1378,17.6,8.6,56.0,8.25,256.0,38.0,304.0,329.0,305.5,18.59345340432435,0.01595541938179517,36.871237598487866,9.193032032787375,0.9934534043243275,292.213199375,294.58293578640945,,
850.0,1438,17.0,8.0,55.0,7.98,255.0,39.0,303.9,328.1,305.4,18.349011543166917,0.015820327565228227,37.671107225273666,10.093942758998304,1.3490115431669096,291.56239216999995,294.3120935501743,,
811.6,1829,13.4,8.1,70.0,8.39,250.0,37.0,304.2,329.6,305.7,16.771044956365778,0.014977971678541056,34.76862696907861,12.654745303049737,3.371044956365779,288.01653424499995,292.5699267685911,,
789.0,2068,11.2,8.1,81.0,8.66,246.0,40.0,304.3,330.5,305.9,15.788443489531396,0.014459624370217123,36.54181830570404,16.269465723032003,4.588443489531414,285.85210730999995,291.4869877185054,,
782.8,2134,10.6,7.7,82.0,8.46,245.0,41.0,304.4,330.0,305.9,15.50925795859092,0.01431247315010371,37.158619268502655,17.327348731368666,4.909257958590899,285.21432025,291.1794289648182,,
778.0,2185,10.2,7.3,82.0,8.31,243.0,41.0,304.4,329.6,305.9,15.29095901047115,0.014197830956742387,36.53126749172308,18.613610489321424,5.090959010471181,284.78632948499995,290.9390529564603,,
776.0,2206,10.2,6.0,75.0,7.61,243.0,41.0,304.6,327.8,306.0,15.19929261350342,0.014149742850563314,36.53126749172308,18.613610489321424,4.999292613503428,284.665339035,290.8381343018934,,
770.0,2271,9.8,5.2,73.0,7.25,241.0,41.0,304.9,327.0,306.2,14.923396580113137,0.014005861162196865,35.85940799271523,19.87719443009981,5.123396580113138,284.201346375,290.5345733382975,,
765.0,2325,9.4,7.2,86.0,8.4,239.0,42.0,305.0,330.5,306.6,14.691214553336826,0.01388527010115442,36.001026629488706,21.631599146222285,5.291214553336829,283.99778619999995,290.27923388963046,,
754.7,2438,8.2,7.0,92.0,8.38,235.0,42.0,304.9,330.4,306.5,14.208949949942216,0.013637300901809096,34.404385860137644,24.090210326743946,6.0089499499422345,282.78820492999995,289.7494182349923,,
