pres[hPa],height[m],temp[degC],dewpoint[degC],rh[%],mr[g/kg],direction[deg],speed[kt],theta[K],thetaE[K],thetaV[K]
1000.0,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
992.0,101,26.6,22.7,79,17.87,240,5,300.4,353.1,303.6
969.1,305,25.3,21.8,81,17.28,240,21,301.2,352.2,304.3
967.0,324,25.2,21.7,81,17.23,241,21,301.2,352.1,304.3
935.5,610,24.0,16.6,63,12.83,255,29,302.8,341.1,305.2
931.0,652,23.8,15.8,61,12.27,255,30,303.1,339.7,305.3
925.0,708,23.2,15.2,61,11.88,255,31,303.0,338.5,305.2
903.2,914,21.5,13.2,59,10.64,260,34,303.3,335.2,305.3
871.9,1219,18.9,10.2,57,9.02,260,35,303.8,331.0,305.4
856.0,1378,17.6,8.6,56,8.25,256,38,304.0,329.0,305.5
850.0,1438,17.0,8.0,55,7.98,255,39,303.9,328.1,305.4
811.6,1829,13.4,8.1,70,8.39,250,37,304.2,329.6,305.7
789.0,2068,11.2,8.1,81,8.66,246,40,304.3,330.5,305.9
782.8,2134,10.6,7.7,82,8.46,245,41,304.4,330.0,305.9
778.0,2185,10.2,7.3,82,8.31,243,41,304.4,329.6,305.9
776.0,2206,10.2,6.0,75,7.61,243,41,304.6,327.8,306.0
770.0,2271,9.8,5.2,73,7.25,241,41,304.9,327.0,306.2
765.0,2325,9.4,7.2,86,8.40,239,42,305.0,330.5,306.6
754.7,2438,8.2,7.0,92,8.38,235,42,304.9,330.4,306.5
751.0,2478,7.8,6.9,94,8.38,236,42,304.9,330.3,306.4
742.0,2578,7.2,3.0,75,6.44,237,43,305.3,325.1,306.5
730.0,2712,6.4,0.4,65,5.43,239,44,305.9,322.7,306.9
728.0,2735,6.4,0.4,65,5.44,240,44,306.1,323.0,307.1
727.3,2743,6.7,-5.2,43,3.60,240,44,306.5,317.9,307.2
727.0,2746,6.8,-7.2,36,3.08,240,44,306.6,316.5,307.2
719.0,2837,7.6,-12.4,23,2.06,240,53,308.5,315.3,308.9
714.0,2895,9.2,-19.8,11,1.12,240,58,310.9,314.8,311.1
711.0,2930,10.2,-17.8,12,1.33,240,61,312.4,316.9,312.6
700.9,3048,10.0,-16.1,14,1.55,240,72,313.4,318.8,313.7
700.0,3059,10.0,-16.0,14,1.58,240,65,313.5,318.9,313.8
688.0,3202,9.6,-14.4,17,1.83,239,68,314.6,320.9,315.0
662.0,3520,6.8,-10.2,29,2.67,236,75,315.0,323.9,315.5
653.0,3632,6.0,-5.0,45,4.06,235,77,315.3,328.6,316.1
650.9,3658,5.8,-5.3,44,3.97,235,78,315.4,328.4,316.2
642.0,3771,5.2,-6.8,42,3.60,235,79,315.9,327.8,316.6
637.0,3835,4.8,-11.2,30,2.56,235,80,316.2,324.8,316.7
627.0,3962,3.7,-12.6,29,2.33,235,81,316.3,324.2,316.8
603.8,4267,1.0,-15.9,27,1.84,240,80,316.6,322.9,317.0
599.0,4331,0.4,-16.6,27,1.75,241,79,316.7,322.7,317.0
574.0,4672,-1.3,-24.3,16,0.94,243,77,318.6,321.9,318.8
559.2,4877,-3.3,-25.2,17,0.89,245,75,318.6,321.8,318.8
533.0,5255,-6.9,-26.9,19,0.80,245,77,318.7,321.6,318.8
500.0,5750,-10.5,-31.5,16,0.55,245,80,320.2,322.2,320.3
477.9,6096,-13.1,-34.1,15,0.45,245,81,321.1,322.8,321.2
460.0,6387,-15.3,-36.3,15,0.38,245,81,321.9,323.3,322.0
420.0,7069,-19.7,-39.7,15,0.29,245,81,324.7,325.9,324.8
400.0,7430,-22.5,-43.5,13,0.20,245,81,325.7,326.5,325.7
389.6,7620,-24.1,-44.7,13,0.18,245,82,326.0,326.8,326.1
351.0,8372,-30.5,-49.5,14,0.12,250,87,327.3,327.8,327.3
339.0,8618,-31.3,-51.3,12,0.10,251,88,329.4,329.9,329.5
321.0,9001,-34.5,-54.5,11,0.07,254,91,330.2,330.5,330.2
314.4,9144,-35.4,-55.4,11,0.07,255,92,330.9,331.2,331.0
300.0,9470,-37.3,-57.3,11,0.06,255,91,332.7,332.9,332.7
294.0,9610,-37.9,-57.9,10,0.05,256,91,333.8,334.0,333.8
251.0,10683,-47.1,-63.1,14,0.03,260,92,335.5,335.7,335.5
250.0,10710,-47.1,-63.1,14,0.03,260,92,335.9,336.1,335.9
243.0,10897,-47.9,-63.9,14,0.03,260,92,337.4,337.6,337.4
218.6,11582,-53.1,-66.9,17,0.02,260,93,339.7,339.8,339.7
214.0,11720,-54.2,-67.5,18,0.02,260,93,340.1,340.2,340.1
211.0,11811,-54.9,-67.9,18,0.02,260,93,340.4,340.5,340.4
200.0,12150,-58.1,-70.1,20,0.02,260,92,340.6,340.7,340.6
184.0,12669,-62.7,-72.7,25,0.01,255,91,341.4,341.4,341.4
171.4,13106,-63.5,-73.5,25,0.01,250,91,347.1,347.1,347.1
171.0,13119,-63.5,-73.5,25,0.01,250,91,347.2,347.3,347.2
166.0,13300,-65.1,-75.1,24,0.01,251,86,347.5,347.6,347.5
164.0,13374,-64.1,-74.1,24,0.01,252,85,350.4,350.5,350.4
161.0,13487,-64.5,-74.5,24,0.01,252,82,351.6,351.6,351.6
156.0,13680,-63.5,-73.5,25,0.01,254,78,356.5,356.5,356.5
150.0,13920,-63.9,-73.9,24,0.01,255,72,359.8,359.9,359.8
141.0,14297,-65.3,-75.3,24,0.01,255,64,363.8,363.8,363.8
138.0,14428,-64.9,-74.9,24,0.01,255,61,366.7,366.8,366.7
127.0,14930,-68.7,-77.7,26,0.01,255,50,368.7,368.7,368.7
126.9,14935,-68.7,-77.7,26,0.01,255,50,368.8,368.8,368.8
121.0,15219,-68.9,-77.9,26,0.01,241,47,373.4,373.5,373.4
120.6,15240,-69.1,-78.1,26,0.01,240,47,373.5,373.5,373.5
117.0,15419,-70.7,-79.7,25,0.01,240,49,373.7,373.8,373.7
114.0,15574,-68.7,-77.7,26,0.01,245,50,380.2,380.3,380.2
111.0,15733,-68.9,-77.9,26,0.01,251,52,382.8,382.8,382.8
109.0,15842,-67.5,-76.5,27,0.01,255,53,387.4,387.4,387.4
108.9,15850,-67.5,-76.5,27,0.01,255,53,387.5,387.6,387.5
106.0,16010,-67.5,-76.5,27,0.01,252,45,390.5,390.6,390.5
104.0,16124,-68.5,-77.5,26,0.01,250,40,390.7,390.8,390.7
102.0,16241,-67.3,-77.3,23,0.01,247,34,395.2,395.2,395.2
100.0,16360,-67.9,-76.9,27,0.01,245,28,396.3,396.3,396.3
93.3,16774,-71.1,-80.1,25,0.01,241,24,397.9,397.9,397.9
89.0,17053,-71.5,-80.5,25,0.01,238,22,402.5,402.6,402.5
86.8,17202,-70.3,-79.3,26,0.01,236,21,407.8,407.9,407.8
83.8,17413,-65.9,-75.9,24,0.02,234,19,420.9,420.9,420.9
76.4,17972,-68.1,-78.1,23,0.01,228,14,427.5,427.6,427.5
72.5,18288,-67.4,-77.4,23,0.01,225,11,435.5,435.6,435.5
70.9,18423,-67.1,-77.1,23,0.01,231,12,438.9,439.0,438.9
70.0,18500,-65.9,-75.9,24,0.02,235,13,443.1,443.2,443.1
68.9,18593,-65.2,-75.2,24,0.02,180,15,446.4,446.6,446.4
67.8,18695,-64.5,-74.5,24,0.02,186,18,450.1,450.3,450.1
63.5,19094,-65.5,-75.5,24,0.02,209,27,456.4,456.6,456.5
62.4,19202,-65.1,-75.3,23,0.02,215,30,459.6,459.8,459.6
57.4,19712,-63.3,-74.3,21,0.03,190,6,474.8,475.0,474.8
56.5,19812,-62.1,-73.7,20,0.03,185,1,479.7,479.9,479.7
55.7,19898,-61.1,-73.1,19,0.03,182,1,483.9,484.1,483.9
53.1,20194,-62.1,-73.1,22,0.04,172,3,488.2,488.5,488.3
51.9,20336,-59.3,-71.3,20,0.05,168,3,498.0,498.3,498.0
50.0,20570,-59.3,-71.3,20,0.05,160,4,503.3,503.7,503.3
44.5,21295,-62.3,-74.3,19,0.04,311,1,513.0,513.3,513.1
44.2,21336,-62.1,-74.1,19,0.04,320,1,514.5,514.8,514.5
40.7,21850,-59.7,-71.7,19,0.06,335,2,532.8,533.2,532.8
36.9,22462,-60.7,-72.7,19,0.06,353,4,545.4,545.8,545.4
34.1,22958,-56.7,-70.7,15,0.08,7,6,568.3,568.9,568.3
30.0,23770,-56.7,-70.7,15,0.09,30,8,589.5,590.2,589.5
27.2,24384,-56.5,-70.5,16,0.10,20,10,606.5,607.4,606.5
26.4,24579,-56.5,-70.5,16,0.11,12,10,612.0,612.9,612.0
24.2,25134,-53.3,-69.3,13,0.14,348,10,636.6,637.9,636.7
20.3,26264,-52.9,-69.9,11,0.15,299,11,670.6,672.1,670.7
20.0,26360,-52.5,-69.5,11,0.16,295,11,674.7,676.3,674.8
19.1,26659,-50.1,-68.1,10,0.21,289,11,691.1,693.1,691.2
17.1,27380,-50.9,-69.9,9,0.18,276,11,710.7,712.5,710.8
17.0,27432,-50.6,-69.7,9,0.19,275,11,713.2,715.1,713.3
