pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
983.0,173,20.8,19.3,190.0,6.0,1.0418890660015827,5.908846518073248,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
979.0,209,22.0,19.7,190.0,8.0,1.3891854213354438,7.878462024097664,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
966.0,326,22.2,19.2,192.0,16.0,3.326587053084152,15.65036161174089,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
935.2,610,20.6,18.0,195.0,35.0,9.058666578588229,33.80740392011739,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
925.0,706,20.0,17.6,200.0,39.0,13.338785589701077,36.64801221065043,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
902.9,914,18.5,16.6,205.0,45.0,19.017821778331466,40.78385041664925,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
873.0,1203,16.4,15.1,210.0,44.0,22.000000000000004,38.1051177665153,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
871.4,1219,16.4,14.9,210.0,44.0,22.000000000000004,38.1051177665153,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
850.0,1431,15.6,12.4,215.0,45.0,25.810939635797077,36.86184199300463,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
830.0,1633,15.2,10.3,220.0,47.0,30.211017655267344,36.00408882659197,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
811.0,1829,13.5,9.5,225.0,49.0,34.648232278140824,34.64823227814084,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
783.0,2124,11.0,8.3,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
782.1,2134,10.9,8.2,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
754.1,2438,9.0,6.5,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
751.0,2472,8.8,6.3,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
739.0,2605,8.4,4.5,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
729.0,2718,8.6,-1.4,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
726.8,2743,8.6,-2.7,230.0,54.0,41.366399928424805,34.71053092307313,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
720.0,2821,8.4,-6.6,229.0,56.0,42.26373649247523,36.73930562346841,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
700.0,3053,7.2,-4.8,225.0,63.0,44.54772721475249,44.547727214752506,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
687.0,3207,6.4,-5.6,225.0,63.0,44.54772721475249,44.547727214752506,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
669.0,3425,4.8,-9.2,225.0,64.0,45.25483399593904,45.25483399593905,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
649.9,3658,2.6,-8.7,225.0,64.0,45.25483399593904,45.25483399593905,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
605.0,4235,-2.7,-7.6,225.0,66.0,46.66904755831213,46.669047558312144,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
602.6,4267,-3.0,-7.5,225.0,66.0,46.66904755831213,46.669047558312144,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
598.0,4328,-3.5,-7.4,225.0,66.0,46.66904755831213,46.669047558312144,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
583.0,4528,-4.7,-9.4,223.0,68.0,46.37588848424989,49.7320517101036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
559.0,4858,-7.3,-9.7,220.0,70.0,44.99513267805775,53.62311101832846,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
557.7,4877,-7.4,-9.8,220.0,70.0,44.99513267805775,53.62311101832846,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
